race_id,cycle,state,poll_margin,actual_margin,poll_error,receipts_edge,individual_edge,dem_incumbent,rep_incumbent
10,2014,NJ,14.375,13.509723005988107,-0.865276994011893,3.404835224003203,3.4044082165032994,1,0
100,2018,FL,1.587272727272727,-0.12250297771490182,-1.7097757049876288,-0.9671609340659297,0.3293074756466188,1,0
102,2018,IN,0.39333333333333326,-5.890171802336404,-6.283505135669738,-0.303600111608324,0.5079281606974944,1,0
103,2018,ME,-25.200000000000003,-24.784326830167924,0.415673169832079,-0.9034000503613715,-1.9655087358266807,0,0
105,2018,MA,24.55,24.164730393152794,-0.38526960684720635,2.144430368143041,1.9628283011975702,1,0
106,2018,MI,10.523529411764706,6.505602308655732,-4.017927103108974,0.07040810227644363,-0.22432287685385202,1,0
107,2018,MN,20.571428571428573,24.095731838102587,3.524303266674014,3.4477206757540215,3.1963024513888505,1,0
109,2018,MO,-1.7150000000000003,-5.813890166151516,-4.0988901661515165,1.1496496144854222,1.2350588770306838,1,0
11,2014,SC,-17.575,-17.435638973449187,0.13936102655081228,-2.732944622444909,-2.6853242677006537,0,1
110,2018,MT,4.880000000000001,3.5514607917776786,-1.3285392082223222,1.137044722470093,1.1953389984398568,1,0
112,2018,NV,0.07666666666666658,5.0269922191636525,4.950325552496986,0.7110448937672348,0.9697116333750813,0,1
113,2018,NJ,7.413333333333333,11.179057902193215,3.7657245688598815,-1.4100043460664597,0.7662356072311436,1,0
114,2018,NM,16.985,23.555548541488516,6.570548541488517,1.8843032234389534,1.820558941582882,1,0
115,2018,NY,27.0,33.42205500787834,6.422055007878342,2.550248902515705,2.6713855734773166,1,0
116,2018,ND,-11.2,-10.8371302945379,0.3628697054620993,1.5883256599165885,1.9279395951394966,1,0
117,2018,OH,12.755555555555556,6.845771541305197,-5.909784014250359,0.635250453041465,2.2014813369659714,1,0
118,2018,PA,13.6,13.12710105002595,-0.47289894997405035,0.8776750679063094,0.7543103842067764,1,0
119,2018,RI,22.333333333333332,23.10783621508847,0.7745028817551365,1.4549129845129323,1.3946044187219715,1,0
12,2014,AK,-1.9785714285714289,-2.129603399433428,-0.15103197086199915,0.1151313873534032,0.008980146481774655,1,0
120,2018,TN,-4.6419999999999995,-10.787034148341618,-6.145034148341619,0.29324978899564463,0.045723077589189115,0,0
